Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,NA,NA,NA,NA,NA,NA,NA,NA,4941.88044,4886.99211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,NA,NA,NA,NA,253.86448,342.17645,355.28046,NA,NA,NA,NA,NA,927.44306,1038.03566,NA,NA,700.11038,727.785,809.42506,NA
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.10398,NA,NA,NA,NA,NA,1369.26491,1316.09851,NA
Namibia,266.99806,270.19856,239.8473,205.54432,NA,NA,438.42593,NA,566.75604,NA,741.12761,NA,NA,NA,396.77113,NA,NA,NA,NA,NA
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,149.75826,203.7476,189.39256,188.44556,200.79883,244.7416,293.12538,318.0867,392.90734,585.08965,466.85744,614.92165,711.3708,655.02341,769.50127,740.82702,950.85388,1169.11791,1284.73056,NA
Netherlands,19094.38917,20265.52125,22665.30311,29173.54401,33272.40253,35004.15371,36989.89085,41414.98023,47675.23269,47150.15708,46468.17215,49390.58951,45390.19714,48463.7257,48637.7936,40927.55861,42934.17236,NA,NA,NA
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NA,3452.34576,3451.5997,4289.17936,5746.92317,6524.16941,6829.01288,6602.70864,7561.10458,8371.52343,8496.63002,10167.85996,12049.54599,11808.58551,12108.12278,12733.19785,11417.11317,NA,NA,NA
Nicaragua,153.30181,NA,124.91165,128.91032,NA,NA,NA,NA,NA,NA,392.75666,NA,NA,NA,485.11301,520.27384,542.22495,600.74657,NA,NA
Niger,57.35865,55.77743,66.4961,65.59815,NA,NA,121.5842,172.5543,197.92146,244.27522,213.49723,269.64505,300.43603,377.14387,553.67247,434.31027,307.43432,287.65981,454.56525,NA
